"","CTRL1","CTRL2","CTRL3","CTRL4","AA1","AA2","AA3","AA4"
"1007_s_at",8.47448130479197,8.37448285534259,8.44435807670227,8.0056652451966,8.35131731787499,8.34872349981419,8.04266012788285,7.95749461505454
"1053_at",5.94640318635817,6.94250698203232,6.04372641580111,6.53871907552981,6.10400698355612,6.11953296186481,6.86979465170168,7.02349587526657
"117_at",6.7295588285836,6.60795577876537,6.57428764074779,6.73728390024799,6.6467459844665,6.57558264487654,6.53736173801465,6.49717049539397
"121_at",8.82898004262247,8.52246950873123,8.76664048066836,8.50820391087898,8.70566692917946,8.54051282733546,8.36379922904529,8.30536309795069
"1255_g_at",3.69742273150153,3.49593326493535,3.65644638300984,3.6604550032238,3.67179615671175,3.69267414930821,3.54644190584884,3.59642451626154
"1294_at",6.90143079789784,6.38324816314895,6.66624794597847,6.4494447839884,6.97076639417621,6.88785036951921,6.1994308002708,6.17980429244433
"1316_at",5.81429527260826,5.46571341318726,5.61749716578644,5.70694977470247,5.59323816558611,5.56016893069414,5.5564088513287,5.27991510775298
"1320_at",5.04254589207641,4.91516862407875,5.16639172676748,5.04686425391691,5.03092217215703,5.17024057719443,5.12532273468781,5.03830914669218
"1405_i_at",3.86671293180193,3.50488385867155,3.59910212497709,3.58510783781761,3.86640846605736,3.71465148701828,3.52773473477114,3.41309453498235
"1431_at",3.61004096694897,3.20671579511572,3.32810819071876,3.24056076943022,3.22196695189536,3.36533731196684,3.25846359893384,3.01116762091052
"1438_at",7.83577049683426,7.88160508620824,7.77859261670193,7.77538707037796,7.80573103963777,7.77245220082855,7.85731216910194,7.56493645252917
"1487_at",7.97607420823198,8.31460962449597,7.93186767764784,7.91441050658355,7.94081553484241,7.94877597864961,7.9423567249862,7.88783372098104
"1494_f_at",6.83619538271525,6.61201413020122,6.70507241746954,6.67051977187863,6.84902159822416,6.6974723724086,6.57350589383742,6.48977636010912
"1598_g_at",8.78041809435312,8.48498051366034,8.64429331679264,8.5026627053036,8.57746468628357,8.64610347502159,8.51612372929372,8.31248036023661
"160020_at",8.50168951120521,8.09389799998061,8.38084895430423,8.16837335651061,8.34246855449108,8.3038124124127,8.04325974025858,7.71476882949715
