"","CTRL1","CTRL2","CTRL3","CTRL4","AA1","AA2","AA3","AA4"
"209028_s_at",4.84441109001262,4.48703317227319,5.10030886082488,4.59621478897821,5.12434480428491,4.87973774663079,4.7583244951758,5.066732231776
"207616_s_at",8.17987075483965,7.77198160800464,8.26404518995603,7.82600486277299,8.25216078799862,8.27039865016823,7.77582258805365,7.82869131664942
"202455_at",7.42768550188365,7.30731703746765,7.42648436900788,6.87546847881225,7.46538176317026,7.27405463518177,6.82399162044133,6.9737768631097
"203415_at",9.23692596087156,9.74357322439723,9.33802533815732,10.0049938174996,9.39661203630831,9.43970091462339,10.145222213399,10.1475367564428
"203320_at",6.81006269984398,7.72687140785674,6.86386988164969,8.17032535661728,6.88140980671471,6.79391301631959,8.21708106343679,8.34577457010905
"204649_at",6.89890678939614,7.27023601278742,6.76666806611725,7.43405308194044,6.77017176155906,6.88076179089705,7.28982864787815,7.12786806720761
"203976_s_at",5.54847542947017,6.43498387762338,5.55285256719774,6.21808591301085,5.93566211172711,5.76887235173659,6.43794578663272,6.38453290594734
"214086_s_at",6.36442583643216,6.76306405004192,6.63978775392697,7.03088369058884,6.55675275022742,6.55271788404349,7.54063604853816,7.55945275772619
"204485_s_at",7.25022174315481,8.20041637264788,7.37461462452979,7.68592020447296,7.36244308539505,7.28144182880252,8.12507331408446,8.20479142750792
"202807_s_at",6.97036209859164,6.32774704892672,6.66643083015139,6.4457766919803,7.10983336714386,6.8911919376964,6.66658284075631,6.27847045773514
"202583_s_at",6.37369911215172,6.56323913769906,6.831777620643,6.32931706742729,6.7743289830437,6.59080683530622,6.87694397275635,6.87794414052502
"209015_s_at",6.19850070189023,6.93541135795916,6.49935637417641,6.822255457829,6.5062118875296,6.35620555253212,7.11022499515922,7.40216158218582
"215504_x_at",7.42083400418978,6.88417369184018,7.20233670647057,6.82111822793522,7.25042608188613,7.3628381514255,6.45698747729355,6.78843349721474
"214857_at",6.23014259395965,5.94223322483034,6.28261487301028,5.77773872116815,6.30777599700656,6.42228534960853,5.42231051253246,5.31796366974417
"205904_at",7.04589699002184,7.98319134368933,7.28373688896146,7.8153198872935,7.28174833540378,7.23774592784141,8.19971266836798,8.24685741979762
"201663_s_at",7.16415965179646,8.69699205551962,7.71822014209767,8.99537925181367,7.55092353756981,7.63616917180012,9.23333212053667,9.24305556270981
"208460_at",5.91134710983348,6.57693408865546,5.7524184952867,6.37862634616755,6.10613450598852,6.10613450598852,6.51035906610015,6.51783239930736
"218261_at",6.9653544098913,6.37773881288591,6.69784000536207,6.61976738200354,6.71342775509266,6.68427626657275,6.19352224171701,6.24587732195801
"201177_s_at",6.6617085277768,7.44739259578559,7.11736143059633,7.2164514937459,7.11857240704145,6.83467929947478,7.59987583281236,7.95322015252109
"217946_s_at",7.38224570197529,8.08117311471643,7.51885187186199,7.97769266750912,7.48983033769832,7.67763123787261,8.21043685352159,8.41540493575191
"203192_at",6.82710927051707,7.43986881221259,6.64114892476833,7.56996073126161,6.57035868944076,6.77102251375057,7.34228699696496,7.28387879687869
