"","CTRL1","CTRL2","CTRL3","CTRL4","AA1","AA2","AA3","AA4"
"TSFM",4.23949694565341,4.9233205463411,4.39039407397747,4.5412789091608,4.59361910967057,4.69405557117715,5.20879499522854,5.39493142718271
"FEM1B",6.03807150021021,5.70297818556331,6.11542191345394,5.70768896648411,6.27839519032159,6.39553187404103,6.33061581430999,6.46277954037634
"RBM12",6.49236840306461,7.33534775444239,7.06726372110877,6.73491650634413,7.24813316902934,7.22912301121571,7.73241479982294,7.89467219188056
"MBNL2",5.35101494381503,5.59535575393736,5.49508071189549,6.30643131049827,5.6929744852916,5.47726324898222,6.64238114837518,6.59762247275177
"ADAM10",7.7889752319433,7.43049405504663,8.18039062940958,7.50316286954937,8.05624132033824,8.19856099315108,8.01795248375463,8.17094943913512
"RXYLT1",5.00705329796454,4.24147445620854,5.23456240546254,4.6599109412169,5.48757370223357,5.09357622560222,5.46746001767567,5.2551907377065
"TUBGCP3",4.32310413612116,4.3507668022275,4.67242541429836,4.20000692621675,4.91001099546428,4.57192430847547,4.85088514788254,4.82767302053503
"FST",8.35552832738041,7.7896650649969,8.44639307687297,9.03875528769962,8.43221797620717,8.36506922352798,9.28226992498727,9.24212003710599
"ZBTB18",5.82466944078272,5.45208426200002,6.53709796246568,5.53889818019955,6.14194578095054,6.046037726989,6.22433816134078,6.34960177106554
"CEBPD",7.08487811403805,7.00366744429526,6.92391247586068,6.30733396707884,9.13812190336986,9.06073911305874,7.37927049367971,7.34121972747976
"NEBL",7.63669222678684,7.60013781192102,7.8531478187627,8.41315190814571,7.69496903370646,7.72936759366803,8.96639804890893,8.97985460931995
"SLC19A2",5.394501059497,5.02138637227042,5.76707033283814,5.3407853400367,6.11952076706843,5.85052066505509,5.97150887396475,6.1892841533841
"PLK2",5.20624433413993,7.22639218305881,5.65955287271305,6.57371371554679,6.26732662577784,6.13534264939269,7.65382620010564,7.61227613808179
"SEC24A",5.16136030290993,5.57079627218906,5.56811588268694,6.25476942505474,5.56947340802854,5.54025617663353,6.43546942383631,6.67839341587788
"C1QL1",7.30994031364731,7.15334751094266,7.17095635888737,7.15935930352468,7.04028269129918,7.07409692743698,6.69110004037507,6.55880415001589
"TCERG1",6.70761532803745,7.44387872754162,7.21764118027943,7.2598182728662,6.98546970677384,7.03355803593739,8.1252046707282,8.2910993899681
