"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","200000_s_at","PRPF8","10594","pre-mRNA processing factor 8",0.224501939666201,8.46564992765855,0.685782031380461,0.505215807299548,0.999732562258353,-6.09439181619956
"2","200005_at","EIF3D","8664","eukaryotic translation initiation factor 3 subunit D",0.120489349620776,9.38589741358893,0.42221312650527,0.679951530334954,0.999732562258353,-6.24316968283029
"3","200008_s_at","GDI2","2665","GDP dissociation inhibitor 2",0.0578282624484086,8.36502224657766,0.196277682977151,0.847508424143721,0.999732562258353,-6.31559975992819
"4","200022_at","RPL18","6141","ribosomal protein L18",0.164532242576504,10.9312694489953,0.598968172019485,0.559760078194615,0.999732562258353,-6.150806797261
"5","200023_s_at","EIF3F","8665","eukaryotic translation initiation factor 3 subunit F",0.183355398149775,9.81416907906161,0.574988616945258,0.575375722131286,0.999732562258353,-6.16512462827611
"6","200027_at","NARS1","4677","asparaginyl-tRNA synthetase 1",-0.0328228823069132,10.2555368382901,-0.121470512224053,0.905225218658392,0.999732562258353,-6.32800197645797
"7","200030_s_at","SLC25A3","5250","solute carrier family 25 member 3",0.147268566862747,11.4100848180927,0.464429894427797,0.650225459159816,0.999732562258353,-6.22390620158641
"8","200036_s_at","RPL10A","4736","ribosomal protein L10a",0.0681094084673095,10.5330854582626,0.217583134072343,0.83122149481128,0.999732562258353,-6.31100520657856
"9","200039_s_at","PSMB2","5690","proteasome 20S subunit beta 2",0.144600959410772,10.1711176959853,0.522870747824516,0.61009361839379,0.999732562258353,-6.19432516007484
"10","200046_at","DAD1","1603","defender against cell death 1",-0.107095796848949,10.4078772534886,-0.391571621599572,0.701886083776144,0.999732562258353,-6.25603462957103
"11","200051_at","SART1","9092","spliceosome associated factor 1, recruiter of U4/U6.U5 tri-snRNP",0.0129204012116393,7.28974810601721,0.0463412328828006,0.963761303065954,0.999732562258353,-6.33458987296976
"12","200056_s_at","C1D","10438","C1D nuclear receptor corepressor",0.202588563987375,6.87458761019639,0.748669037926818,0.467739015851106,0.999732562258353,-6.04912413875504
"13","200062_s_at","RPL30","6156","ribosomal protein L30",-0.0825514159687337,12.6373623549673,-0.316279953070439,0.756944266900956,0.999732562258353,-6.28361790236207
"14","200069_at","SART3","9733","spliceosome associated factor 3, U4/U6 recycling protein",0.244856463229766,6.52866251191509,0.890256499326062,0.389933041972614,0.999732562258353,-5.93412722250545
"15","200072_s_at","HNRNPM","4670","heterogeneous nuclear ribonucleoprotein M",0.267349750996617,9.5203441193143,1.01320527910579,0.329935829427406,0.999732562258353,-5.82020681992204
"16","200074_s_at","RPL14","9045","ribosomal protein L14",0.0297404573162208,10.7019333682215,0.10966326465474,0.914395677829805,0.999732562258353,-6.32942742890199
"17","200078_s_at","ATP6V0B","533","ATPase H+ transporting V0 subunit b",0.0310424735301762,10.092873804002,0.118088585266256,0.907850507253821,0.999732562258353,-6.32842511603483
"18","200079_s_at","KARS1","3735","lysyl-tRNA synthetase 1",0.117808751361302,8.98079481714282,0.407301183191723,0.690589772144765,0.999732562258353,-6.24954830748919
"19","200081_s_at","RPS6","6194","ribosomal protein S6",0.14854897213848,11.0572204404909,0.470650479791814,0.645896095596421,0.999732562258353,-6.22091787378463
"20","200083_at","USP22","23326","ubiquitin specific peptidase 22",0.126189896083163,8.446964784727,0.389387225749787,0.703460765207393,0.999732562258353,-6.25691570493506
"21","200595_s_at","EIF3A","8661","eukaryotic translation initiation factor 3 subunit A",0.238393932291016,7.74203112159117,0.896712647731656,0.386606738372595,0.999732562258353,-5.92846346156537
"22","200600_at","MSN","4478","moesin",0.10824207718299,9.64310463129713,0.348192378834242,0.733417332747735,0.999732562258353,-6.27262898025014
"23","200602_at","APP","351","amyloid beta precursor protein",-0.0131830263132837,9.29086073587463,-0.0383761511066044,0.969986331131029,0.999732562258353,-6.3349426600513
"24","200606_at","DSP","1832","desmoplakin",0.342750451700073,7.08243561816644,0.466953930434904,0.648467186965147,0.999732562258353,-6.22269829724513
"25","200607_s_at","RAD21","5885","RAD21 cohesin complex component",0.301382704308974,8.66535030520934,0.858552395476994,0.406549778344941,0.999732562258353,-5.9614163831723
"26","200613_at","AP2M1","1173","adaptor related protein complex 2 subunit mu 1",0.0574434825952554,10.278141644201,0.185826267714187,0.855525313919328,0.999732562258353,-6.31768175973928
"27","200615_s_at","AP2B1","163","adaptor related protein complex 2 subunit beta 1",0.33051263417709,8.53293426369266,0.685447727242986,0.50541968661265,0.999732562258353,-6.09462266970661
"28","200617_at","MLEC","9761","malectin",0.0704355118302313,9.21954425082235,0.239063698643002,0.814882676792204,0.999732562258353,-6.30589784887826
"29","200621_at","CSRP1","1465","cysteine and glycine rich protein 1",-0.118741025788883,7.50707546430821,-0.393945945519011,0.700176115577503,0.999732562258353,-6.25507149486353
"30","200627_at","PTGES3","10728","prostaglandin E synthase 3",0.0904827036991822,10.5236385006223,0.323629960814662,0.751502117288565,0.999732562258353,-6.28117888831352
"31","200629_at","WARS1","7453","tryptophanyl-tRNA synthetase 1",0.118299407880192,9.0077121689363,0.205949939877585,0.840104921960571,0.999732562258353,-6.31357214822754
"32","200637_s_at","PTPRF","5792","protein tyrosine phosphatase receptor type F",0.0495371993217324,6.64872774836781,0.152200869686682,0.88142732531906,0.999732562258353,-6.32361120369389
"33","200644_at","MARCKSL1","65108","MARCKS like 1",-0.073079342483112,10.9637835694779,-0.274752891255855,0.787938642688768,0.999732562258353,-6.29636067621737
"34","200657_at","SLC25A5","292","solute carrier family 25 member 5",0.0408056511712829,11.021238999943,0.133459353996448,0.895928218085632,0.999732562258353,-6.32640596346036
"35","200658_s_at","PHB","5245","prohibitin",0.0858596535177938,9.7926858430109,0.237914558555703,0.81575454168901,0.999732562258353,-6.30618313366706
"36","200660_at","S100A11","6282","S100 calcium binding protein A11",0.0756710000349088,9.49017263411018,0.267566221465637,0.793342723256194,0.999732562258353,-6.29838650800345
"37","200662_s_at","TOMM20","9804","translocase of outer mitochondrial membrane 20",0.348310026634543,7.71294079387784,1.06011982733569,0.308897420888729,0.999732562258353,-5.77344893926592
"38","200665_s_at","SPARC","6678","secreted protein acidic and cysteine rich",0.481668877132582,6.75360180651227,0.44501969039012,0.663819279060902,0.999732562258353,-6.23298367774365
"39","200674_s_at","RPL32","6161","ribosomal protein L32",-0.0135242132589521,12.8058623371374,-0.0509623645344218,0.96015081373692,0.999732562258353,-6.33435479752899
"40","200679_x_at","HMGB1","3146","high mobility group box 1",0.0800608993589425,8.9005287430605,0.223802992886063,0.826481665286933,0.999732562258353,-6.30957534589417
"41","200681_at","GLO1","2739","glyoxalase I",0.186086245050529,10.3013141874443,0.482238940585542,0.637866718804488,0.999732562258353,-6.21524865457852
"42","200683_s_at","UBE2L3","7332","ubiquitin conjugating enzyme E2 L3",0.0718237124253314,8.59789933078361,0.257612681593821,0.800845751697043,0.999732562258353,-6.30110461199502
"43","200688_at","SF3B3","23450","splicing factor 3b subunit 3",0.0202004177979429,6.25380596572963,0.0705116371641698,0.94488810379484,0.999732562258353,-6.33311344812537
"44","200693_at","YWHAQ","10971","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta",0.108563668656968,10.6171057322994,0.379395766809822,0.710681494959665,0.999732562258353,-6.26088442377644
"45","200697_at","HK1","3098","hexokinase 1",0.184062929657507,10.8811475134435,0.537896496080168,0.599977417536209,0.999732562258353,-6.18617761439473
"46","200701_at","NPC2","10577","NPC intracellular cholesterol transporter 2",0.0330292811933273,10.5720077078074,0.088304629676687,0.931016122441329,0.999732562258353,-6.33163661247818
"47","200708_at","GOT2","2806","glutamic-oxaloacetic transaminase 2",0.0894380038322744,9.20469951793258,0.30335539787588,0.766546683195409,0.999732562258353,-6.28777301231592
"48","200710_at","ACADVL","37","acyl-CoA dehydrogenase very long chain",0.12246647126438,8.75953508016099,0.45316688228644,0.658097943372337,0.999732562258353,-6.22921914794563
"49","200712_s_at","MAPRE1","22919","microtubule associated protein RP/EB family member 1",0.310853653049034,8.01588687944171,0.826149938648352,0.424015661333399,0.999732562258353,-5.98839842963544
"50","200720_s_at","ACTR1A","10121","actin related protein 1A",0.131633670442734,7.91839823154273,0.437205261642257,0.669327682405298,0.999732562258353,-6.2365323044303
"51","200722_s_at","CAPRIN1","4076","cell cycle associated protein 1",0.243646095368984,8.68993001683298,0.878823639303778,0.395871180798902,0.999732562258353,-5.94406859460348
"52","200726_at","PPP1CC","5501","protein phosphatase 1 catalytic subunit gamma",0.108923122426786,9.83392393111585,0.353170775038953,0.729771580407758,0.999732562258353,-6.27082131540195
"53","200729_s_at","ACTR2","10097","actin related protein 2",0.0835432294589857,8.36213490665814,0.218152538656572,0.830787291568363,0.999732562258353,-6.31087597085374
"54","200733_s_at","PTP4A1","7803","protein tyrosine phosphatase 4A1",0.220090073587857,7.306697608459,0.741520041879499,0.471910720309995,0.999732562258353,-6.05445349943038
"55","200736_s_at","GPX1","2876","glutathione peroxidase 1",-0.0777207706956489,9.77270096327084,-0.199741554219053,0.84485527288476,0.999732562258353,-6.31488475754598
"56","200737_at","PGK1","5230","phosphoglycerate kinase 1",0.25423225996661,10.1809033669514,0.578428330314833,0.573121615446676,0.999732562258353,-6.163104824567
"57","200739_s_at","SUMO3","6612","small ubiquitin like modifier 3",0.0557243830244225,9.32663113280106,0.194001270925959,0.849253100397376,0.999732562258353,-6.31606288182632
"58","200743_s_at","TPP1","1200","tripeptidyl peptidase 1",0.0831354653884233,9.30879580736669,0.169318495876071,0.868221617256605,0.999732562258353,-6.32073943766064
"59","200749_at","RAN","5901","RAN, member RAS oncogene family",0.168665737475173,8.82721268016189,0.528670475002247,0.606178830529007,0.999732562258353,-6.19120645182283
"60","200751_s_at","HNRNPC","3183","heterogeneous nuclear ribonucleoprotein C",0.0883599676009865,8.25315130026781,0.297567371085574,0.770860143488758,0.999732562258353,-6.28957844606147
"61","200761_s_at","ARL6IP5","10550","ADP ribosylation factor like GTPase 6 interacting protein 5",-0.107928676730419,8.91196740421044,-0.384217244413918,0.707193367982357,0.999732562258353,-6.25898185201412
"62","200766_at","CTSD","1509","cathepsin D",-0.0678625336349086,8.0013528391454,-0.20346060972005,0.842008861358271,0.999732562258353,-6.31410324785215
"63","200774_at","FAM120A","23196","family with sequence similarity 120A",0.263663501273228,9.08524258994505,0.713857391430945,0.488268215636064,0.999732562258353,-6.07463356940531
"64","200776_s_at","BZW1","9689","basic leucine zipper and W2 domains 1",0.131574196356965,9.9169279710852,0.399725738500824,0.69602069651554,0.999732562258353,-6.25270322272591
